Russian	Pronouncing	Farsi
зубная паста	xamir-e dandān	ناﺪﻧد ﺮﯿﻤﺧ
зубная щётка	mesvāk	کاﻮﺴﻣ
чистить зубы	mesvāk zadan	ندز کاﻮﺴﻣ
бритва	tiq	ﻎﯿﺗ
крем для бритья	kerem-e riš tarāši	ﯽﺷاﺮﺗ ﺶﯾر مﺮﮐ
бриться	riš tarāšidan	نﺪﯿﺷاﺮﺗ ﺶﯾر
мыло	sābun	نﻮﺑﺎﺻ
шампунь	šāmpu	ﻮﭙﻣﺎﺷ
ножницы	qeyči	ﯽﭽﯿﻗ
пилочка для ногтей	sohan-e nāxon	ﻦﺧﺎﻧ نﺎﻫﻮﺳ
щипчики для ногтей	nāxon gir	ﺮﯿﮔ ﻦﺧﺎﻧ
пинцет	mučin	ﻦﯿﭼﻮﻣ
косметика	lavāzem-e ārāyeši	ﯽﺸﯾارآ مزاﻮﻟ
маска (косметич.)	māsk	ﮏﺳﺎﻣ
маникюр	mānikur	رﻮﮑﯿﻧﺎﻣ
делать маникюр	mānikur kardan	ندﺮﮐ رﻮﮑﯿﻧﺎﻣ
педикюр	pedikur	رﻮﮑﯾﺪﭘ
косметичка	kife lavāzem-e ārāyeši	ﯽﺸﯾارآ مزاﻮﻟ ﻒﯿﮐ
пудра	pudr	ردﻮﭘ
пудреница	jaʿbe-ye pudr	ردﻮﭘ ﮥﺒﻌﺟ
румяна	sorxāb	بﺎﺧﺮﺳ
духи	atr	ﺮﻄﻋ
туалетная вода	atr	ﺮﻄﻋ
лосьон	losiyon	نﻮﯿﺳﻮﻟ
одеколон	odkolon	ﻦﻠﮐدوا
тени для век	sāye-ye češm	ﻢﺸﭼ ﻪﯾﺎﺳ
карандаш для глаз	medād čašm	ﻢﺸﭼ داﺪﻣ
тушь для ресниц	rimel	ﻞﻤﯾر
губная помада	mātik	ﮏﯿﺗﺎﻣ
лак для ногтей	lāk-e nāxon	ﻦﺧﺎﻧ کﻻ
лак для волос	esperey-ye mu	ﻮﻣ یﺮﭙﺳا
дезодорант	deodyrant	ﺖﻧارودﻮﺋد
крем	kerem	مﺮﮐ
крем для лица	kerem-e surat	ترﻮﺻ مﺮﮐ
крем для рук	kerem-e dast	ﺖﺳد مﺮﮐ
крем против морщин	kerem-e zedd-e čoruk	کوﺮﭼ ﺪﺿ مﺮﮐ
дневной крем	kerem-e ruz	زور مﺮﮐ
ночной крем	kerem-e šab	ﺐﺷ مﺮﮐ
дневной	ruzāne	ﻪﻧازور
ночной	šab	ﺐﺷ
тампон	tāmpon	نﻮﭙﻣﺎﺗ
туалетная бумага	kāqaz-e tuālet	ﺖﻟاﻮﺗ ﺬﻏﺎﮐ
фен	sešovār	راﻮﺸﺳ
