город	šahr, ﺷﻬﺮ
столица	pāytaxt, ﭘﺎﯾﺘﺨﺖ
деревня	rustā, روﺳﺘﺎ
план города	naqše-ye šahr, ﻧﻘﺸﮥ ﺷﻬﺮ
центр города	markaz-e šahr, ﻣﺮﮐﺰ ﺷﻬﺮ
пригород	hume-ye šahr, ﺣﻮﻣﮥ ﺷﻬﺮ
пригородный	hume-ye šahr, ﺣﻮﻣﮥ ﺷﻬﺮ
окраина (города)	hume, ﺣﻮﻣﻪ
окрестности	hume, ﺣﻮﻣﻪ
квартал	mahalle, ﻣﺤﻠﻪ
жилой квартал	mahalle-ye maskuni, ﻣﺤﻠﮥ ﻣﺴﮑﻮﻧﯽ
уличное движение	obur-o morur, ﻋﺒﻮر و ﻣﺮور
светофор	čerāq-e rāhnamā, ﭼﺮاغ راﻫﻨﻤﺎ
городской транспорт	haml-o naql-e šahri, ﺣﻤﻞ و ﻧﻘﻞ ﺷﻬﺮی
перекрёсток	čahārrāh, ﭼﻬﺎرراه
пешеходный переход	xatt-e āber-e piyāde, ﺧﻂ ﻋﺎﺑﺮﭘﯿﺎده
подземный переход	zir-e gozar, زﯾﺮ ﮔﺬر
переходить (улицу)	obur kardan, ﻋﺒﻮر ﮐﺮدن
пешеход	piyāde, ﭘﯿﺎده
тротуар	piyāde row, ﭘﯿﺎده رو
мост	pol, ﭘﻞ
набережная	xiyābān-e sāheli, ﺧﯿﺎﺑﺎن ﺳﺎﺣﻠﯽ
фонтан	češme, ﭼﺸﻤﻪ
аллея	bāq rāh, ﺑﺎغ راه
парк	pārk, ﭘﺎرک
бульвар	bolvār, ﺑﻮﻟﻮار
площадь	meydān, ﻣﯿﺪان
проспект	xiyābān, ﺧﯿﺎﺑﺎن
улица	xiyābān, ﺧﯿﺎﺑﺎن
переулок	kuče, ﮐﻮﭼﻪ
тупик	bon bast, ﺑﻦ ﺑﺴﺖ
дом	xāne, ﺧﺎﻧﻪ
здание	sāxtemān, ﺳﺎﺧﺘﻤﺎن
небоскрёб	āsemānxarāš, آﺳﻤﺎﻧﺨﺮاش
фасад	namā, ﻧﻤﺎ
крыша	bām, ﺑﺎم
окно	panjere, ﭘﻨﺠﺮه
арка	tāq-e qowsi, ﻃﺎق ﻗﻮﺳﯽ
колонна	sotun, ﺳﺘﻮن
угол (дома)	nabš, ﻧﺒﺶ
витрина	vitrin, وﯾﺘﺮﯾﻦ
вывеска	tāblo, ﺗﺎﺑﻠﻮ
афиша	poster, ﭘﻮﺳﺘﺮ
рекламный плакат	poster-e tabliqāti, ﭘﻮﺳﺘﺮ ﺗﺒﻠﯿﻐﺎﺗﯽ
рекламный щит	bilbord, ﺑﯿﻠﺒﻮرد
мусор (отбросы)	āšqāl, آﺷﻐﺎل
урна (для мусора)	satl-e āšqāl, ﺳﻄﻞ آﺷﻐﺎل
сорить	kasif kardan, ﮐﺜﯿﻒ ﮐﺮدن
свалка	jā-ye dafn-e āšqāl, ﺟﺎی دﻓﻦ آﺷﻐﺎل
телефонная будка	kābin-e telefon, ﮐﺎﺑﯿﻦ ﺗﻠﻔﻦ
фонарный столб	tir-e barq, ﺗﯿﺮ ﺑﺮق
скамейка	nimkat, ﻧﯿﻤﮑﺖ
полицейский(сущ.)	polis, ﭘﻠﯿﺲ
полиция	polis, ﭘﻠﯿﺲ
нищий (бродяга)	gedā, ﮔﺪا
бездомный(сущ.)	bi xānomān, ﺑﯽ ﺧﺎﻧﻤﺎن
