мобильный телефон	telefon-e hamrāh, ﺗﻠﻔﻦ ﻫﻤﺮاه
дисплей	namāyešgar, ﻧﻤﺎﯾﺸﮕﺮ
кнопка	dokme, دﮐﻤﻪ
SIM-карта	sim-e kārt, ﺳﯿﻢ ﮐﺎرت
батарея	bātri, ﺑﺎﻃﺮی
разрядиться	tamām šodan bātri, ﺗﻤﺎم ﺷﺪن ﺑﺎﺗﺮی
зарядное устройство	šāržer, ﺷﺎرژ
меню	meno, ﻣﻨﻮ
настройки	tanzimāt, ﺗﻨﻈﯿﻤﺎت
мелодия	āhang, آﻫﻨﮓ
выбрать	entexāb kardan, اﻧﺘﺨﺎب ﮐﺮدن
калькулятор	māšin-e hesāb, ﻣﺎﺷﯿﻦ ﺣﺴﺎب
голосовая почта	monši-ye telefoni, ﻣﻨﺸﯽ ﺗﻠﻔﻨﯽ
будильник	sāʿat-e zang dār, ﺳﺎﻋﺖ زﻧﮓ دار
телефонная книга	daftar-e telefon, دﻓﺘﺮ ﺗﻠﻔﻦ
SMS-сообщение	payāmak, ﭘﯿﺎﻣﮏ
абонент	moštarek, ﻣﺸﺘﺮک
