ресторан	resturān, رﺳﺘﻮران
кофейня	kāfe, ﮐﺎﻓﻪ
бар	bār, ﺑﺎر
чайный салон	qahve xāne, ﻗﻬﻮه ﺧﺎﻧﻪ
официант	pišxedmat, ﭘﯿﺸﺨﺪﻣﺖ
официантка	pišxedmat, ﭘﯿﺸﺨﺪﻣﺖ
бармен	motesaddi-ye bār, ﻣﺘﺼﺪی ﺑﺎر
меню	meno, ﻣﻨﻮ
карта вин	kārt-e šarāb, ﮐﺎرت ﺷﺮاب
забронировать столик	miz rezerv kardan, ﻣﯿﺰ رزرو ﮐﺮدن
блюдо (кушанье)	qazā, ﻏﺬا
заказать (блюдо)	sefāreš dādan, ﺳﻔﺎرش دادن
сделать заказ	sefāreš dādan, ﺳﻔﺎرش دادن
аперитив	mašrub-e piš qazā, ﻣﺸﺮوب ﭘﯿﺶ ﻏﺬا
закуска	piš qazā, ﭘﯿﺶ ﻏﺬا
десерт	deser, دﺳﺮ
счёт	surat hesāb, ﺻﻮرت ﺣﺴﺎب
оплатить счёт	surat-e hesāb rā pardāxtan, ﺻﻮرت ﺣﺴﺎب را ﭘﺮداﺧﺘﻦ
дать сдачу	baqiye rā dādan, ﺑﻘﯿﻪ را دادن
чаевые	anʿām, اﻧﻌﺎم
