соль	namak, ﻧﻤﮏ
солёный	šur, ﺷﻮر
солить	namak zadan, ﻧﻤﮏ زدن
чёрный перец	felfel-e siyāh, ﻓﻠﻔﻞ ﺳﯿﺎه
красный перец	felfel-e sorx, ﻓﻠﻔﻞ ﺳﺮخ
горчица	xardal, ﺧﺮدل
хрен	torob-e kuhi, ﺗﺮب ﮐﻮﻫﯽ
приправа	adviye, ادوﯾﻪ
пряность	adviye, ادوﯾﻪ
соус	ses, ﺳﺲ
уксус	serke, ﺳﺮﮐﻪ
анис	rāziyāne, رازﯾﺎﻧﻪ
базилик	reyhān, رﯾﺤﺎن
гвоздика	mixak, ﻣﯿﺨﮏ
имбирь	zanjefil, زﻧﺠﻔﯿﻞ
кориандр	gešniz, ﮔﺸﻨﯿﺰ
корица	dārčin, دارﭼﯿﻦ
кунжут	konjed, ﮐﻨﺠﺪ
лавровый лист	barg-e bu, ﺑﺮگ ﺑﻮ
паприка	paprika, ﭘﺎﭘﺮﯾﮑﺎ
тмин	zire, زﯾﺮه
шафран	zaʿferān, زﻋﻔﺮان
