Атлантический океан	oqyānus-e atlas, اﻗﯿﺎﻧﻮس اﻃﻠﺲ
Индийский океан	oqyānus-e hend, اﻗﯿﺎﻧﻮس ﻫﻨﺪ
Тихий океан	oqyānus-e ārām, اﻗﯿﺎﻧﻮس آرام
Северный Ледовитый океан	oqyānus-e monjamed-e šomāli, اﻗﯿﺎﻧﻮس ﻣﻨﺠﻤﺪ ﺷﻤﺎﻟﯽ
Чёрное море	daryā-ye siyāh, درﯾﺎی ﺳﯿﺎه
Красное море	daryā-ye sorx, درﯾﺎی ﺳﺮخ
Желтое море	daryā-ye zard, درﯾﺎی زرد
Белое море	daryā-ye sefid, درﯾﺎی ﺳﻔﯿﺪ
Каспийское море	daryā-ye xazar, درﯾﺎی ﺧﺰر
Мёртвое море	daryā-ye morde, درﯾﺎی ﻣﺮده
Средиземное море	daryā-ye meditarāne, درﯾﺎی ﻣﺪﯾﺘﺮاﻧﻪ
Эгейское море	daryā-ye eže, درﯾﺎی اژه
Адриатическое море	daryā-ye ādriyātik, درﯾﺎی آدرﯾﺎﺗﯿﮏ
Аравийское море	daryā-ye arab, درﯾﺎی ﻋﺮب
Японское море	daryā-ye žāpon, درﯾﺎی ژاﭘﻦ
Берингово море	daryā-ye brinq, درﯾﺎی ﺑﺮﯾﻨﮓ
Южно-Китайское море	daryā-ye čin-e jonubi, درﯾﺎی ﭼﯿﻦ ﺟﻨﻮﺑﯽ
Коралловое море	daryā-ye marjān, درﯾﺎی ﻣﺮﺟﺎن
Тасманово море	daryā-ye tās-emān, درﯾﺎی ﺗﺎﺳﻤﺎن
Карибское море	daryā-ye kārāib, درﯾﺎی ﮐﺎراﺋﯿﺐ
Баренцево море	daryā-ye barntz, درﯾﺎی ﺑﺎرﻧﺘﺰ
Карское море	daryā-ye kārā, درﯾﺎی ﮐﺎرا
Северное море	daryā-ye šomāl, درﯾﺎی ﺷﻤﺎل
Балтийское море	daryā-ye bāltik, درﯾﺎی ﺑﺎﻟﺘﯿﮏ
Норвежское море	daryā-ye norvež, درﯾﺎی ﻧﺮوژ
