животное	heyvān, ﺣﯿﻮان
зверь	heyvān, ﺣﯿﻮان
белка	sanjāb, ﺳﻨﺠﺎب
ёж	xārpošt, ﺧﺎرﭘﺸﺖ
заяц	xarguš, ﺧﺮﮔﻮش
кролик	xarguš, ﺧﺮﮔﻮش
барсук	gurkan, ﮔﻮرﮐﻦ
енот	rākon, راﮐﻮن
хомяк	muš-e bozorg, ﻣﻮش ﺑﺰرگ
сурок	muš-e xormā-ye kuhi, ﻣﻮش ﺧﺮﻣﺎی ﮐﻮﻫﯽ
крот	muš-e kur, ﻣﻮش ﮐﻮر
мышь	muš, ﻣﻮش
крыса	muš-e sahrāyi, ﻣﻮش ﺻﺤﺮاﯾﯽ
летучая мышь	xoffāš, ﺧﻔﺎش
горностай	qāqom, ﻗﺎﻗﻢ
соболь	samur, ﺳﻤﻮر
куница	samur, ﺳﻤﻮر
ласка	rāsu, راﺳﻮ
норка	tire-ye rāsu, ﺗﯿﺮه راﺳﻮ
бобр	sag-e ābi, ﺳﮓ آﺑﯽ
выдра	samur ābi, ﺳﻤﻮر آﺑﯽ
лошадь	asb, اﺳﺐ
лось	gavazn, ﮔﻮزن
олень	āhu, آﻫﻮ
верблюд	šotor, ﺷﺘﺮ
бизон	gāvmiš, ﮔﺎوﻣﯿﺶ
зубр	gāv miš, ﮔﺎو ﻣﯿﺶ
буйвол	bufālo, ﺑﻮﻓﺎﻟﻮ
зебра	gurexar, ﮔﻮرﺧﺮ
антилопа	boz-e kuhi, ﺑﺰ ﮐﻮﻫﯽ
косуля	šukā, ﺷﻮﮐﺎ
лань	qazāl, ﻏﺰال
серна	boz-e kuhi, ﺑﺰ ﮐﻮﻫﯽ
кабан	gorāz, ﮔﺮاز
кит	nahang, ﻧﻬﻨﮓ
тюлень	fak, ﻓﮏ
морж	širmāhi, ﺷﯿﺮﻣﺎﻫﯽ
котик	gorbe-ye ābi, ﮔﺮﺑﮥ آﺑﯽ
дельфин	delfin, دﻟﻔﯿﻦ
медведь	xers, ﺧﺮس
белый медведь	xers-e sefid, ﺧﺮس ﺳﻔﯿﺪ
панда	pāndā, ﭘﺎﻧﺪا
обезьяна	meymun, ﻣﯿﻤﻮن
шимпанзе	šampānze, ﺷﻤﭙﺎﻧﺰه
орангутанг	orāngutān, اوراﻧﮕﻮﺗﺎن
горилла	guril, ﮔﻮرﯾﻞ
макака	mākāk, ﻣﺎﮐﺎک
гиббон	gibon, ﮔﯿﺒﻮن
слон	fil, ﻓﯿﻞ
носорог	kargadan, ﮐﺮﮔﺪن
жираф	zarrāfe, زراﻓﻪ
бегемот	asb-e ābi, اﺳﺐ آﺑﯽ
кенгуру	kāngoro, ﮐﺎﻧﮕﻮرو
коала	kovālā, ﮐﻮاﻻ
мангуст	xadang, ﺧﺪﻧﮓ
шиншилла	čin čila, ﭼﯿﻦ ﭼﯿﻼ
скунс	rāsu-ye badbu, راﺳﻮی ﺑﺪﺑﻮ
дикобраз	taši, ﺗﺸﯽ
