кошка	gorbe, ﮔﺮﺑﻪ
кот	gorbe-ye nar, ﮔﺮﺑﮥ ﻧﺮ
собака, пёс	sag, ﺳﮓ
лошадь	asb, اﺳﺐ
жеребец	asb-e nar, اﺳﺐ ﻧﺮ
кобыла	mādiyān, ﻣﺎدﯾﺎن
корова	gāv, ﮔﺎو
бык	gāv-e nar, ﮔﺎو ﻧﺮ
вол	gāv-e axte, ﮔﺎو اﺧﺘﻪ
овца	gusfand, ﮔﻮﺳﻔﻨﺪ
баран	gusfand-e nar, ﮔﻮﺳﻔﻨﺪ ﻧﺮ
коза	boz-e mādde, ﺑﺰ ﻣﺎده
козёл	boz-e nar, ﺑﺰ ﻧﺮ
осёл	xar, ﺧﺮ
мул	qāter, ﻗﺎﻃﺮ
свинья	xuk, ﺧﻮک
поросёнок	bače-ye xuk, ﺑﭽﮥ ﺧﻮک
кролик	xarguš, ﺧﺮﮔﻮش
курица	morq, ﻣﺮغ
петух	xorus, ﺧﺮوس
утка	ordak, اردک
селезень	ordak-e nar, اردک ﻧﺮ
гусь	qāz, ﻏﺎز
индюк	buqalamun-e nar, ﺑﻮﻗﻠﻤﻮن ﻧﺮ
индюшка	buqalamun-e māde, ﺑﻮﻗﻠﻤﻮن ﻣﺎده
домашние животные	heyvānāt-e ahli, ﺣﯿﻮاﻧﺎت اﻫﻠﯽ
ручной (о животных)	ahli, اﻫﻠﯽ
приручать	rām kardan, رام ﮐﺮدن
выращивать	parvareš dādan, ﭘﺮورش دادن
ферма	mazrae, ﻣﺰرﻋﻪ
домашняя птица	morq-e xānegi, ﻣﺮغ ﺧﺎﻧﮕﯽ
скот	dām, دام
стадо	galle, ﮔﻠﻪ
конюшня	establ, اﺻﻄﺒﻞ
свинарник	āqol xuk, آﻏﻞ ﺧﻮک
коровник	āqol gāv, آﻏﻞ ﮔﺎو
крольчатник	lanye xarguš, ﻻﻧﻪ ﺧﺮﮔﻮش
курятник	morq dāni, ﻣﺮغ داﻧﯽ
