насекомое	hašare, ﺣﺸﺮه
бабочка	parvāne, ﭘﺮواﻧﻪ
муравей	murče, ﻣﻮرﭼﻪ
муха	magas, ﻣﮕﺲ
комар	paše, ﭘﺸﻪ
жук	susk, ﺳﻮﺳﮏ
оса	zanbur, زﻧﺒﻮر
пчела	zanbur-e asal, زﻧﺒﻮر ﻋﺴﻞ
шмель	xar zanbur, ﺧﺮزﻧﺒﻮر
овод	xarmagas, ﺧﺮﻣﮕﺲ
паук	ankabut, ﻋﻨﮑﺒﻮت
паутина	tār-e ankabut, ﺗﺎرﻋﻨﮑﺒﻮت
стрекоза	sanjāqak, ﺳﻨﺠﺎﻗﮏ
кузнечик	malax, ﻣﻠﺦ
мотылёк	bid, ﺑﯿﺪ
таракан	susk, ﺳﻮﺳﮏ
клещ	kane, ﮐﻨﻪ
блоха	kak, ﮐﮏ
мошка	paše-ye rize, ﭘﺸﻪ رﯾﺰه
саранча	malax, ﻣﻠﺦ
улитка	halazun, ﺣﻠﺰون
сверчок	jirjirak, ﺟﯿﺮﺟﯿﺮک
светлячок	kerm-e šab-tāb, ﮐﺮم ﺷﺐ ﺗﺎب
божья коровка	kafšduzak, ﮐﻔﺸﺪوزک
майский жук	susk bāldār, ﺳﻮﺳﮏ ﺑﺎﻟﺪار
пиявка	zālu, زاﻟﻮ
гусеница	kerm-e abrišam, ﮐﺮم اﺑﺮﯾﺸﻢ
червь	kerm, ﮐﺮم
червь (личинка)	lārv, ﻻرو
