вес	vazn, وزن
длина	tul, ﻃﻮل
ширина	arz, ﻋﺮض
высота	ertefāʿ, ارﺗﻔﺎع
глубина	omq, ﻋﻤﻖ
объём	hajm, ﺣﺠﻢ
площадь	masāhat, ﻣﺴﺎﺣﺖ
грамм	garm, ﮔﺮم
миллиграмм	mili geram, ﻣﯿﻠﯽ ﮔﺮم
килограмм	kilugeram, ﮐﯿﻠﻮﮔﺮم
тонна	ton, ﺗﻦ
фунт (мера веса)	pond, ﭘﻮﻧﺪ
унция	ons, اوﻧﺲ
метр	metr, ﻣﺘﺮ
миллиметр	mili metr, ﻣﯿﻠﯽ ﻣﺘﺮ
сантиметр	sāntimetr, ﺳﺎﻧﺘﯿﻤﺘﺮ
километр	kilumetr, ﮐﯿﻠﻮﻣﺘﺮ
миля	māyel, ﻣﺎﯾﻞ
дюйм	inč, اﯾﻨﭻ
фут	fowt, ﻓﻮت
ярд	yārd, ﯾﺎرد
квадратный метр	metr morabbaʿ, ﻣﺘﺮ ﻣﺮﺑﻊ
гектар	hektār, ﻫﮑﺘﺎر
литр	litr, ﻟﯿﺘﺮ
градус	daraje, درﺟﻪ
вольт	volt, وﻟﺖ
ампер	āmper, آﻣﭙﺮ
лошадиная сила	asb-e boxār, اﺳﺐ ﺑﺨﺎر
количество	meqdār, ﻣﻘﺪار
немного …	kami, ﮐﻤﯽ
половина	nim, ﻧﯿﻢ
дюжина	dojin, دوﺟﯿﻦ
штука	tā, ﺗﺎ
размер (предмета)	andāze, اﻧﺪازه
масштаб	meqyās, ﻣﻘﯿﺎس
минимальный	haddeaqal, ﺣﺪاﻗﻞ
наименьший	kučaktarin, ﮐﻮﭼﮑﺘﺮﯾﻦ
средний	motevasset, ﻣﺘﻮﺳﻂ
максимальный	haddeaksar, ﺣﺪاﮐﺜﺮ
наибольший	bištarin, ﺑﯿﺸﺘﺮﯾﻦ
