Здравствуйте!	salām, ﺳﻼم
Доброе утро!	sobh bexeyr, ﺻﺒﺢ ﺑﺨﯿﺮ
Добрый день!	ruz bexeyr!, روز ﺑﺨﯿﺮ!
Добрый вечер!	asr bexeyr, ﻋﺼﺮﺑﺨﯿﺮ
здороваться	salām kardan, ﺳﻼم ﮐﺮدن
Привет!	salām, ﺳﻼم
привет, приветствие	salām, ﺳﻼم
приветствовать	salām kardan, ﺳﻼم ﮐﺮدن
Как у вас дела?	haletān četowr ast?, ﺣﺎﻟﺘﺎن ﭼﻄﻮر اﺳﺖ؟
Как дела? (у тебя)	četorid?, ﭼﻄﻮرﯾﺪ؟
Что нового?	če xabar?, ﭼﻪ ﺧﺒﺮ؟
До свидания! (на «Вы»)	xodāhāfez, ﺧﺪاﺣﺎﻓﻆ
До свидания! (на «ты»)	bāy bāy, ﺑﺎی ﺑﺎی
До скорой встречи!	be omid-e didār!, ﺑﻪ اﻣﯿﺪ دﯾﺪار!
Прощай! Прощайте!	xodāhāfez!, ﺧﺪاﺣﺎﻓﻆ!
прощаться	xodāhāfezi kardan, ﺧﺪاﺣﺎﻓﻈﯽ ﮐﺮدن
Пока!	tā bezudi!, ﺗﺎ ﺑﺰودی!
Спасибо!	motešakker-am!, ﻣﺘﺸﮑﺮم!
Большое спасибо!	besyār motešakker-am!, ﺑﺴﯿﺎر ﻣﺘﺸﮑﺮم!
Пожалуйста (ответ)	xāheš mikonam, ﺧﻮاﻫﺶ ﻣﯽ ﮐﻨﻢ
Не стоит благодарности	tašakkor lāzem nist, ﺗﺸﮑﺮ ﻻزم ﻧﯿﺴﺖ
Не за что	qābel-i nadārad, ﻗﺎﺑﻠﯽ ﻧﺪارد
Извини!	bebaxšid!, ﺑﺒﺨﺸﯿﺪ!
извинять	baxšidan, ﺑﺨﺸﯿﺪن
извиняться	ozr xāstan, ﻋﺬر ﺧﻮاﺳﺘﻦ
Мои извинения.	ozr mixāham, ﻋﺬرﻣﯽ ﺧﻮاﻫﻢ
Простите!	bebaxšid!, ﺑﺒﺨﺸﯿﺪ!
прощать (кого-л.)	baxšidan, ﺑﺨﺸﯿﺪن
Ничего страшного (ответ)	mohem nist, ﻣﻬﻢ ﻧﯿﺴﺖ
пожалуйста (при просьбе)	lotfan, ﻟﻄﻔﺎً
Не забудьте!	farāmuš nakonid!, ﻓﺮاﻣﻮش ﻧﮑﻨﯿﺪ!
Конечно!	albate!, اﻟﺒﺘﻪ!
Конечно нет!	albate ke neh!, اﻟﺒﺘﻪ ﮐﻪ ﻧﻪ!
Согласен!	besyār xob!, ﺑﺴﯿﺎرﺧﻮب!
Хватит!	bas ast!, ﺑﺲ اﺳﺖ!
