корабль	kešti, ﮐﺸﺘﯽ
судно	kešti, ﮐﺸﺘﯽ
пароход	kešti-ye boxāri, ﮐﺸﺘﯽ ﺑﺨﺎری
теплоход	qāyeq-e rudxāne, ﻗﺎﯾﻖ رودﺧﺎﻧﻪ
лайнер	kešti-ye tafrihi, ﮐﺸﺘﯽ ﺗﻔﺮﯾﺤﯽ
крейсер	razm nāv, رزم ﻧﺎو
яхта	qāyeq-e tafrihi, ﻗﺎﯾﻖ ﺗﻔﺮﯾﺤﯽ
буксир	yadak keš, ﯾﺪک ﮐﺶ
баржа	kešti-ye bārkeše yadaki, ﮐﺸﺘﯽ ﺑﺎرﮐﺶ ﯾﺪﮐﯽ
паром	kešti-ye farābar, ﮐﺸﺘﯽ ﻓﺮاﺑﺮ
парусник	kešti-ye bādbāni, ﮐﺸﺘﯽ ﺑﺎدﺑﺎﻧﯽ
бригантина	košti dozdān daryā-yi, ﮐﺸﺘﻰ دزدان درﯾﺎﯾﻰ
ледокол	kešti-ye yaxšekan, ﮐﺸﺘﯽ ﯾﺦ ﺷﮑﻦ
лодка подводная	zirdaryāyi, زﯾﺮدرﯾﺎﯾﯽ
лодка	qāyeq, ﻗﺎﯾﻖ
шлюпка	qāyeq-e tafrihi, ﻗﺎﯾﻖ ﺗﻔﺮﯾﺤﯽ
шлюпка спасательная	qāyeq-e nejāt, ﻗﺎﯾﻖ ﻧﺠﺎت
катер	qāyeq-e motori, ﻗﺎﯾﻖ ﻣﻮﺗﻮری
капитан	kāpitān, ﮐﺎﭘﯿﺘﺎن
матрос	malavān, ﻣﻠﻮان
моряк	malavān, ﻣﻠﻮان
экипаж	xadame, ﺧﺪﻣﻪ
боцман	sar malavān, ﺳﺮ ﻣﻠﻮان
юнга	šāgerd-e malavān, ﺷﺎﮔﺮد ﻣﻠﻮان
кок	āšpaz-e kešti, آﺷﭙﺰ ﮐﺸﺘﯽ
судовой врач	pezešk-e kešti, ﭘﺰﺷﮏ ﮐﺸﺘﯽ
палуба	arše-ye kešti, ﻋﺮﺷﮥ ﮐﺸﺘﯽ
мачта	dakal, دﮐﻞ
парус	bādbān, ﺑﺎدﺑﺎن
трюм	anbār, اﻧﺒﺎر
нос (корабля)	sine-ye kešti, ﺳﯿﻨﻪ ﮐﺸﺘﯽ
корма	aqab kešti, ﻋﻘﺐ ﮐﺸﺘﯽ
весло	pāru, ﭘﺎرو
винт	parvāne, ﭘﺮواﻧﻪ
каюта	otāq-e kešti, اﺗﺎق ﮐﺸﺘﯽ
кают-компания	otāq-e afsarān, اﺗﺎق اﻓﺴﺮان
машинное отделение	motor xāne, ﻣﻮﺗﻮر ﺧﺎﻧﻪ
капитанский мостик	pol-e farmāndehi, ﭘﻞ ﻓﺮﻣﺎﻧﺪﻫﯽ
радиорубка	kābin-e bisim, ﮐﺎﺑﯿﻦ ﺑﯽ ﺳﯿﻢ
волна (радио)	mowj, ﻣﻮج
судовой журнал	roxdād nāme, رﺧﺪاد ﻧﺎﻣﻪ
подзорная труба	teleskop, ﺗﻠﺴﮑﻮپ
колокол	nāqus, ﻧﺎﻗﻮس
флаг	parčam, ﭘﺮﭼﻢ
канат	tanāb, ﻃﻨﺎب
узел (завязать ~)	gereh, ﮔﺮه
поручень	narde, ﻧﺮده
трап	pol, ﭘﻞ
якорь	langar, ﻟﻨﮕﺮ
поднять якорь	langar kešidan, ﻟﻨﮕﺮ ﮐﺸﯿﺪن
бросить якорь	langar andāxtan, ﻟﻨﮕﺮ اﻧﺪاﺧﺘﻦ
якорная цепь	zanjir-e langar, زﻧﺠﯿﺮ ﻟﻨﮕﺮ
порт	bandar, ﺑﻨﺪر
причал	eskele, اﺳﮑﻠﻪ
причаливать	pahlu gereftan, ﭘﻬﻠﻮ ﮔﺮﻓﺘﻦ
отчаливать	tark kardan, ﺗﺮک ﮐﺮدن
путешествие	mosāferat, ﻣﺴﺎﻓﺮت
круиз	safar-e daryāyi, ﺳﻔﺮ درﯾﺎﯾﯽ
курс	masir, ﻣﺴﯿﺮ
маршрут	masir, ﻣﺴﯿﺮ
фарватер	kešti-ye ru, ﮐﺸﺘﯽ رو
мель	mahall-e kam omq, ﻣﺤﻞ ﮐﻢ ﻋﻤﻖ
сесть на мель	be gel nešastan, ﺑﻪ ﮔﻞ ﻧﺸﺴﺘﻦ
буря	tufān, ﻃﻮﻓﺎن
сигнал	alāmat, ﻋﻼﻣﺖ
тонуть (о корабле)	qarq šodan, ﻏﺮق ﺷﺪن
Человек за бортом!	kas-i dar hāl-e qarq šodan-ast!, ﮐﺴﯽ در ﺣﺎل ﻏﺮق ﺷﺪن اﺳﺖ!
SOS	sos, SOS
спасательный круг	kamarband-e nejāt, ﮐﻤﺮﺑﻨﺪ ﻧﺠﺎت
