вывеска	tāblo, ﺗﺎﺑﻠﻮ
надпись	nevešte, ﻧﻮﺷﺘﻪ
плакат, постер	poster, ﭘﻮﺳﺘﺮ
указатель	rāhnamā, راﻫﻨﻤﺎ
стрелка (указатель)	alāmat, ﻋﻼﻣﺖ
предостережение	ehtiyāt, اﺣﺘﯿﺎط
предупреждение	alāmat-e hošdār, ﻋﻼﻣﺖ ﻫﺸﺪار
предупредить	hošdār dādan, ﻫﺸﺪار دادن
выходной день	ruz-e taʿtil, روز ﺗﻌﻄﯿﻞ
расписание	jadval, ﺟﺪول
часы работы	sāʿathā-ye kāri, ﺳﺎﻋﺖ ﻫﺎی ﮐﺎری
ДОБРО ПОЖАЛОВАТЬ!	xoš āmadid, ﺧﻮش آﻣﺪﯾﺪ
ВХОД	vorud, ورود
ВЫХОД	xoruj, ﺧﺮوج
ОТ СЕБЯ	hel dādan, ﻫﻞ دادن
НА СЕБЯ	bekešid, ﺑﮑﺸﯿﺪ
ОТКРЫТО	bāz, ﺑﺎز
ЗАКРЫТО	baste, ﺑﺴﺘﻪ
ДЛЯ ЖЕНЩИН	zanāne, زﻧﺎﻧﻪ
ДЛЯ МУЖЧИН	mardāne, ﻣﺮداﻧﻪ
СКИДКИ	taxfif, ﺗﺨﻔﯿﻒ
РАСПРОДАЖА	harāj, ﺣﺮاج
НОВИНКА!	jadid, ﺟﺪﯾﺪ
БЕСПЛАТНО	majjāni, ﻣﺠﺎﻧﯽ
ВНИМАНИЕ!	tavajjoh, ﺗﻮﺟﻪ
МЕСТ НЕТ	otāq-e xāli nadārim, اﺗﺎق ﺧﺎﻟﯽ ﻧﺪارﯾﻢ
ЗАРЕЗЕРВИРОВАНО	rezerv šode, رزرو ﺷﺪه
АДМИНИСТРАЦИЯ	edāre, اداره
ТОЛЬКО ДЛЯ ПЕРСОНАЛА	xāse personel, ﺧﺎص ﭘﺮﺳﻨﻞ
ЗЛАЯ СОБАКА	movāzeb-e sag bāšid, ﻣﻮاﻇﺐ ﺳﮓ ﺑﺎﺷﯿﺪ
НЕ КУРИТЬ!	sigār kešidan mamnuʾ, ﺳﯿﮕﺎر ﮐﺸﯿﺪن ﻣﻤﻨﻮع
РУКАМИ НЕ ТРОГАТЬ!	dast nazanid, دﺳﺖ ﻧﺰﻧﯿﺪ
ОПАСНО	xatarnāk, ﺧﻄﺮﻧﺎک
ОПАСНОСТЬ	xatar, ﺧﻄﺮ
ВЫСОКОЕ НАПРЯЖЕНИЕ	voltāj bālā, وﻟﺘﺎژ ﺑﺎﻻ
КУПАТЬСЯ ЗАПРЕЩЕНО	šenā mamnuʿ, ﺷﻨﺎ ﻣﻤﻨﻮع
НЕ РАБОТАЕТ	xārāb, ﺧﺮاب
ОГНЕОПАСНО	qābel-e ehterāq, ﻗﺎﺑﻞ اﺣﺘﺮاق
ЗАПРЕЩЕНО	mamnuʿ, ﻣﻤﻨﻮع
ПРОХОД ЗАПРЕЩЁН	obur mamnuʿ, ﻋﺒﻮر ﻣﻤﻨﻮع
ОКРАШЕНО	rang-e xis, رﻧﮓ ﺧﯿﺲ
