деньги	pul, ﭘﻮل
обмен	tabdil-e arz, ﺗﺒﺪﯾﻞ ارز
курс (валют)	nerx-e arz, ﻧﺮخ ارز
банкомат	xodpardāz, ﺧﻮدﭘﺮداز
монета	sekke, ﺳﮑﻪ
доллар	dolār, دﻻر
евро	yuro, ﯾﻮرو
итальянская лира	lire, ﻟﯿﺮه
немецкая марка	mārk, ﻣﺎرک
франк	farānak, ﻓﺮاﻧﮏ
фунт стерлингов	pond-e esterling, ﭘﻮﻧﺪ اﺳﺘﺮﻟﯿﻨﮓ
йена	yen, ﯾﻦ
долг	qarz, ﻗﺮض
должник	bedehkār, ﺑﺪﻫﮑﺎر
дать в долг	qarz dādan, ﻗﺮض دادن
взять в долг	qarz gereftan, ﻗﺮض ﮔﺮﻓﺘﻦ
банк	bānk, ﺑﺎﻧﮏ
счёт (в банке)	hesāb-e bānki, ﺣﺴﺎب ﺑﺎﻧﮑﯽ
положить (на счёт)	rixtan, رﯾﺨﺘﻦ
положить на счёт	be hesāb rixtan, ﺑﻪ ﺣﺴﺎب رﯾﺨﺘﻦ
снять со счёта	az hesāb bardāštan, از ﺣﺴﺎب ﺑﺮداﺷﺘﻦ
кредитная карта	kārt-e eʿtebāri, ﮐﺎرت اﻋﺘﺒﺎری
наличные деньги	pul-e naqd, ﭘﻮل ﻧﻘﺪ
чек	ček, ﭼﮏ
выписать чек	ček neveštan, ﭼﮏ ﻧﻮﺷﺘﻦ
чековая книжка	daste-ye ček, دﺳﺘﻪ ﭼﮏ
бумажник	kif-e pul, ﮐﯿﻒ ﭘﻮل
кошелёк	kif-e pul, ﮐﯿﻒ ﭘﻮل
сейф	gāvsanduq, ﮔﺎوﺻﻨﺪوق
наследник	vāres, وارث
наследство	mirās, ﻣﯿﺮاث
состояние	dārāyi, داراﯾﯽ
аренда	ejāre, اﺟﺎره
квартирная плата	kerāye-ye xāne, ﮐﺮاﯾﮥ ﺧﺎﻧﻪ
снимать (~ квартиру)	ejāre kardan, اﺟﺎره ﮐﺮدن
цена	qeymat, ﻗﯿﻤﺖ
стоимость	arzeš, ارزش
сумма	jamʿ-e kol, ﺟﻤﻊ ﮐﻞ
тратить, расходовать	xarj kardan, ﺧﺮج ﮐﺮدن
расходы	maxārej, ﻣﺨﺎرج
экономить	sarfeju-yi kardan, ﺻﺮﻓﻪ ﺟﻮﯾﯽ ﮐﺮدن
экономный	maqrun besarfe, ﻣﻘﺮون ﺑﻪ ﺻﺮﻓﻪ
платить	pardāxtan, ﭘﺮداﺧﺘﻦ
оплата	pardāxt, ﭘﺮداﺧﺖ
сдача (деньги)	pul-e xerad, ﭘﻮل ﺧﺮد
налог	māliyāt, ﻣﺎﻟﯿﺎت
штраф	jarime, ﺟﺮﯾﻤﻪ
штрафовать	jarime kardan, ﺟﺮﯾﻤﻪ ﮐﺮدن
